conference,year,early_regular,early_student
ICSME,2010,500,200
ICSME,2011,NA,NA
ICSME,2012,587,293
ICSME,2013,699,400
ICSME,2014,772,521
ICSME,2015,371,309
ICSME,2016,758,312
ICSME,2017,722,512
ICSME,2018,702,450
ICSME,2019,863,647
ASE,2010,600,350
ASE,2011,602,293
ASE,2012,740,550
ASE,2013,760,606
ASE,2014,620,320
ASE,2015,717,431
ASE,2016,617,390
ASE,2017,668,370
ASE,2018,770,400
ASE,2019,914,548
ICSE,2010,492,191
ICSE,2011,845,404
ICSE,2012,720,344
ICSE,2013,771,367
ICSE,2014,679,257
ICSE,2015,700,390
ICSE,2016,846,356
ICSE,2017,868,383
ICSE,2018,789,488
ICSE,2019,774,422
FSE,2010,NA,NA
FSE,2011,550,300
FSE,2012,514,202
FSE,2013,570,320
FSE,2014,520,200
FSE,2015,840,420
FSE,2016,802,401
FSE,2017,800,350
FSE,2018,802,445
FSE,2019,846,423
